lon,lat,owner,watershed,type,form
-71.13406847340,42.41612354510,,IN-866,STORM WATER INLET,
-71.13481979270,42.41613624370,,IN-867,STORM WATER INLET,
-71.13528780350,42.41619195190,,IN-869,STORM WATER INLET,
-71.13474434540,42.41620129860,,IN-868,STORM WATER INLET,
-71.13527209890,42.41626831930,,IN-870,STORM WATER INLET,
-71.13598595020,42.41628626530,,IN-872,STORM WATER INLET,
-71.13590476120,42.41635735080,,IN-871,STORM WATER INLET,
-71.13722739970,42.41659762450,,IN-875,STORM WATER INLET,
-71.13308603180,42.41662211670,,IN-807,STORM WATER INLET,
-71.13716895960,42.41667574980,,IN-874,STORM WATER INLET,
-71.13314576050,42.41666550310,,IN-808,STORM WATER INLET,
-71.13289595360,42.41675703350,,IN-812,STORM WATER INLET,
-71.13295978070,42.41680037280,,IN-811,STORM WATER INLET,
-71.13205152520,42.41736404040,,IN-828,STORM WATER INLET,
-71.13210994020,42.41741415910,,IN-827,STORM WATER INLET,
-71.13894509620,42.41754986960,,IN-852,STORM WATER INLET,
-71.13888053100,42.41761251700,,IN-853,STORM WATER INLET,
-71.14007382300,42.41819915750,,IN-806,STORM WATER INLET,
-71.14000781750,42.41825920730,,IN-882,STORM WATER INLET,
-71.13040075110,42.41865035080,,IN-831,STORM WATER INLET,
-71.14115143940,42.41880970790,,IN-883,STORM WATER INLET,
-71.14167272630,42.41943402140,,IN-884,STORM WATER INLET,
-71.14176097370,42.41967520210,,IN-885,STORM WATER INLET,
-71.10612206070,42.42213065010,,IN-408,STORM WATER INLET,
-71.10605861440,42.42213452930,,IN-407,STORM WATER INLET,
-71.10874991500,42.42499162620,,IN-1043,STORM WATER INLET,
-71.10912354610,42.42617778280,,IN-1041,STORM WATER INLET,
-71.10903275660,42.42618229370,,IN-1042,STORM WATER INLET,
-71.10920015230,42.42649312330,,IN-1040,STORM WATER INLET,
-71.10917187420,42.42676597140,,IN-1039,STORM WATER INLET,
-71.10926236560,42.42677364190,,IN-1038,STORM WATER INLET,
-71.10919430920,42.42910907300,,IN-978,STORM WATER INLET,
-71.10913371910,42.42963593400,,IN-977,STORM WATER INLET,
-71.10613301630,42.42063876270,,IN-415,STORM WATER INLET,
-71.10700793080,42.42079801620,,IN-414,STORM WATER INLET,
-71.12478355290,42.41745279460,,IN-2606,STORM WATER INLET,
-71.12550594580,42.41756174320,,IN-2611,STORM WATER INLET,
-71.12548498440,42.41765031600,,IN-2610,STORM WATER INLET,
-71.12696921520,42.41852984940,,IN-1003,STORM WATER INLET,
-71.12687370600,42.41855958020,,IN-1004,STORM WATER INLET,
-71.12717426260,42.41904575160,,IN-1002,STORM WATER INLET,
-71.12712541590,42.41934060160,,IN-1001,STORM WATER INLET,
-71.12731609050,42.41982253450,,IN-577,STORM WATER INLET,
-71.12736680300,42.42059905110,,IN-1000,STORM WATER INLET,
-71.12746502620,42.42061873300,,IN-999,STORM WATER INLET,
-71.12755485940,42.42085738020,,IN-998,STORM WATER INLET,
-71.12808195180,42.42534404370,,IN-546,STORM WATER INLET,
-71.12798793060,42.42535881050,,IN-547,STORM WATER INLET,
-71.09468514020,42.44039361630,,IN-1274,STORM WATER INLET,
-71.09645948450,42.44088273790,,IN-1278,STORM WATER INLET,
-71.09639135490,42.44092487400,,IN-1277,STORM WATER INLET,
-71.12967708810,42.42563785190,,IN-505,STORM WATER INLET,
-71.09063181760,42.43602727800,,IN-1374,STORM WATER INLET,
-71.09054123010,42.43607492240,,IN-1375,STORM WATER INLET,
-71.09230558200,42.43641841130,,IN-1314,STORM WATER INLET,
-71.09206844750,42.43643517000,,IN-1315,STORM WATER INLET,
-71.09233725050,42.43649873860,,IN-1313,STORM WATER INLET,
-71.09478343080,42.43692621090,,IN-1312,STORM WATER INLET,
-71.09475289110,42.43698752630,,IN-1311,STORM WATER INLET,
-71.12120401190,42.41057600250,,IN-2864,STORM WATER INLET,
-71.12128965690,42.41060259670,,IN-2865,STORM WATER INLET,
-71.12090573750,42.41084403220,,IN-2862,STORM WATER INLET,
-71.12094912100,42.41090499420,,IN-2861,STORM WATER INLET,
-71.11889011600,42.41180323680,,IN-2415,STORM WATER INLET,
-71.11896676750,42.41183067890,,IN-2416,STORM WATER INLET,
-71.11839899530,42.41271149830,,IN-2419,STORM WATER INLET,
-71.08983348600,42.43888320560,,IN-1361,STORM WATER INLET,
-71.08990641220,42.43894861810,,IN-1360,STORM WATER INLET,
-71.10719586510,42.40782743290,,IN-3766,STORM WATER INLET,
-71.10657036570,42.40796823450,,IN-3903,STORM WATER INLET,
-71.10661205950,42.40802723450,,IN-3902,STORM WATER INLET,
-71.10557855820,42.40819177850,,IN-3905,STORM WATER INLET,
-71.10562572660,42.40824920320,,IN-3906,STORM WATER INLET,
-71.10476922060,42.40836439430,,IN-3769,STORM WATER INLET,
-71.10468864780,42.40839140680,,IN-3907,STORM WATER INLET,
-71.10460731510,42.40847929160,,IN-3908,STORM WATER INLET,
-71.12004517700,42.42545512320,,IN-233,STORM WATER INLET,
-71.12044207170,42.42663430850,,IN-225,STORM WATER INLET,
-71.10561891750,42.40435169340,,IN-4139,STORM WATER INLET,
-71.10564574450,42.40441552590,,IN-4138,STORM WATER INLET,
-71.10421797220,42.40466770840,,IN-4142,STORM WATER INLET,
-71.10421306390,42.40473882080,,IN-4141,STORM WATER INLET,
-71.10312458640,42.40491641740,,IN-4013,STORM WATER INLET,
-71.10331802710,42.40494125140,,IN-4014,STORM WATER INLET,
-71.11271179920,42.40125462200,,IN-4302,STORM WATER INLET,
-71.11263397560,42.40132405960,,IN-4289,STORM WATER INLET,
-71.11323781640,42.40195698170,,IN-4288,STORM WATER INLET,
-71.11318273970,42.40205611350,,IN-4287,STORM WATER INLET,
-71.11377548350,42.40267605830,,IN-4301,STORM WATER INLET,
-71.11367614280,42.40271369770,,IN-4286,STORM WATER INLET,
-71.11391514760,42.40286304120,,IN-4290,STORM WATER INLET,
