OBJECTID,Facility ID,Install Date,Inlet Type,Access Diameter,Invert Elevation,Access Material,Access Type,Enabled,Active Flag,Owned By,Managed By,Last Update Date,Last Editor,AncillaryRole,DrainArea,StreetName,GlobalID,x,y
635,15-cb-2090,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,15,FIFIELD STREET,804bd489-b8a4-4093-b23b-0c0e9dc6a818,-71.1799511831844,42.3619053297887
636,15-cb-2091,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,15,FIFIELD STREET,3bc97391-e84e-4850-ac31-bfd98cdff664,-71.1799191117022,42.3619689905752
637,15-cb-2092,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,15,FIFIELD STREET,d64140dc-74dc-44a0-8add-00ea33e64a56,-71.1789548831216,42.3616041150648
638,15-cb-2093,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,15,RIVERSIDE STREET,27171210-cfda-45b2-a6d8-be93fd9b4b3b,-71.1796530967163,42.3625379480684
639,15-cb-2094,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,15,RIVERSIDE STREET,16485245-fe45-4aae-bd4b-3f0219b647b4,-71.1790693703802,42.3623118951753
640,15-cb-2095,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,15,RIVERSIDE STREET,7488caa3-942e-494e-b979-c5941deb1762,-71.1784610585559,42.3621804210657
641,15-cb-2096,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,15,RIVERSIDE STREET,a1f1a9ad-8529-423e-a392-5471ad4ab1f5,-71.1798201829411,42.3626057410857
642,15-cb-2097,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,15,RIVERSIDE STREET,e1bd00af-92cb-42dc-a6bf-747e302fc12b,-71.1797880140759,42.3626616843196
643,12-cb-2098,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,12,RIVERSIDE STREET,8dd45a62-4336-4076-8ef2-02e2dba32f96,-71.1823504603697,42.3635592013968
644,C-cb-2099,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,C,WATER STREET,f68792d0-7b2d-4628-a93b-1d391c22b802,-71.183984372142,42.3620109040795
645,C-cb-2100,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,C,WATER STREET,7d555e1e-080c-48b1-98e6-6719d896f654,-71.1840558607089,42.361975500544
646,C-cb-2101,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,C,WATER STREET,33c3aee7-1e50-4f17-b7ff-d9ab23d743ab,-71.1841397090035,42.3622224609266
647,C-cb-2102,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,C,WATER STREET,15dd885f-8c39-4f79-ab19-8a0ee3abfc91,-71.1843054240418,42.3624181461203
648,C-cb-2103,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,C,WATER STREET,a5df2342-6429-4b47-8194-03587a99e823,-71.1843704760653,42.362403273709
649,2-cb-2104,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,2,WATER STREET,8c36a470-8701-45d9-9258-db7c5376bee8,-71.1847220286435,42.3627987414956
650,A-cb-2105,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,A,WATER STREET,4d5d8bcf-4dfc-4aef-a4eb-79256310651a,-71.1846579303326,42.3628292258443
651,B-cb-2106,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,B,WATER STREET,77908d58-cfba-4410-829b-aa3f8bc1f3fe,-71.1849927557328,42.363096321321
652,B-cb-2107,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,B,WATER STREET,de6645c5-5306-4094-b126-e3df7bc0c25e,-71.1849304904682,42.3631262913766
653,B-cb-2108,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,B,WATER STREET,dfcf9e02-e5a7-4bce-b483-2af5cb9e843d,-71.1851917255743,42.3632135879025
654,29-cb-2109,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,29,WATER STREET,4be64256-8faf-4aa6-965b-8fcdf7f4644e,-71.1854257747189,42.3635784228094
655,29-cb-2110,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,29,WATER STREET,6336af9e-96b0-4e8e-9a8a-285492f64a76,-71.1855066719572,42.363492831684
656,29-cb-2111,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,29,WATER STREET,a2eda82b-0f18-48e0-86c7-549a661aaef2,-71.1856167427312,42.3634644603623
657,37-cb-2112,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,ALDRICH ROAD,da0f7559-802d-4b52-a5b6-cd278c942e30,-71.1863132638889,42.3633272556564
658,37-cb-2113,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,ALDRICH ROAD,b3a79dfd-dff6-4652-a1fa-a36ef7f841b8,-71.186319475608,42.3632513948743
659,37-cb-2114,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,ALDRICH ROAD,b9c3ec65-3796-4596-be17-884658251828,-71.1869841554965,42.3633394024972
660,37-cb-2115,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,ALDRICH ROAD,9b837a34-c61a-443f-b366-ce18482e9290,-71.1870206324407,42.3632609520001
661,33-cb-2116,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,ALDRICH ROAD,cec110c2-36a7-4308-b9cd-c7f7a6e68ba2,-71.1882344708695,42.3632954309024
662,33-cb-2117,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,ALDRICH ROAD,cd5a0fe8-ccf0-40db-8cc2-9aa718c8de01,-71.1882385776136,42.3633851093969
663,33-cb-2118,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,ALDRICH ROAD,325bfc8a-c233-45eb-a385-d562ef3a338f,-71.1883819798312,42.3634023720304
664,33-cb-2119,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,ALDRICH ROAD,c8538fe2-23b4-4a2a-aaad-73a50e6d532a,-71.1888321581959,42.3634590438126
665,33-cb-2120,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,ALDRICH ROAD,dd965f1b-6b1a-4877-baa6-18008866a691,-71.1887373079555,42.3634941701139
666,33-cb-2121,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,ALDRICH ROAD,acd1d0d0-4808-492d-9b08-ad3d4468cc6b,-71.1886426318909,42.3637789967907
667,33-cb-2122,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,ALDRICH ROAD,799c442d-67d1-4926-ab7a-0e6cd04e2c0d,-71.1890459372941,42.3639034618241
668,33-cb-2123,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,ALDRICH ROAD,6ecd5b0d-7a31-4218-b5d8-d764864e4702,-71.1890997192228,42.3638527618954
669,37-cb-2124,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,UNION STREET,a2fd4751-db24-4806-a710-652ae32ba6a1,-71.1861684852509,42.3627411936143
670,37-cb-2125,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,UNION STREET,70a4982f-95f9-4e05-b9e1-48c1d027ce53,-71.1861782404942,42.3626780815167
671,37-cb-2126,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,UNION STREET,b5277eaf-42d3-4c1d-a487-d9037d0f01ad,-71.1866203608386,42.3626798613888
672,37-cb-2127,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,UNION STREET,4f9135cb-7143-4926-b3e0-f3d6545b3e91,-71.1866465938707,42.3627495608236
673,37-cb-2128,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,UNION STREET,c7342f68-e297-48c2-bd4f-53c07e9902b1,-71.1870527309546,42.3627647785611
674,37-cb-2129,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,37,UNION STREET,2fc85e9d-bc0a-487e-a617-32b1a906c811,-71.1871383673444,42.3627021186046
675,33-cb-2130,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,UNION STREET,0a4474ed-a991-4ce9-8da0-65b47c93ebbd,-71.188022312327,42.3627760490581
676,33-cb-2131,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,UNION STREET,1638e374-b734-4616-b59d-133a2df7034e,-71.1880440139395,42.3627148093919
677,33-cb-2132,,Catchbasin,0,0,,Cover,1,1,1,1,4/4/2019 9:11:50 AM,WSE03\GannonR,0,33,UNION STREET,93b16161-1753-42ed-a530-1a2d1d2c16e8,-71.1885288004106,42.3627116137398
