FID,OBJECTID,ANCILLARYR,ENABLED,SUBTYPEFIE,FACILITYID,SYMBOLROTA,LIFECYCLES,WATERTYPE,INSTALLDAT,SURFACEELE,LASTEDITOR,LASTEDITDA,COMMENTS,OWNER,ARCFMID,HISTORICAL,FRAMEMATER,ACCESSMATE,WALLMATERI,GRATETYPE,DEPTH,INVERTELEV,ADDRESS,COATINGTYP,HOODED,CURBINLET,NORMENABLE,SOURCE1,LastCleanD,DEEP,x,y
112,1166,0,1,1,D22CBN6305,65,IS,STORM,9/4/02 0:00,23.86,GTS,10/26/11 0:00, ,CDPW,SCB000004478, , , , ,F,0,18.82, ,UNK,1,0,0,AGASSIZ R-06,8/26/11 0:00,Y,-71.11296876,42.38220897
113,1167,0,1,1,D22CBN6304,65,IS,STORM,9/4/02 0:00,23.58,GTS,10/26/11 0:00, ,CDPW,SCB000004479, , , , ,DG,0,21.06,36-38 CARVER ST,UNK,1,1,0,AGASSIZ R-06,8/26/11 0:00,Y,-71.11293496,42.38228912
114,1168,0,1,1,D29CBN1945,0,IS,STORM,3/8/04 0:00,999,GTS,12/13/10 0:00, ,CDPW,SCB000004483, , , , ,D,0,999,1715D MASS AVE,UNK,1,1,0,REMEDIAL 2004,11/16/10 0:00, ,-71.11939488,42.38370809
115,1169,0,1,1,D22CBN5911,0,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000004486, , , , ,BG,0,999,CAMBRIDGE YOUTH CENTER PARKING,UNK,0,0,0, ,, ,-71.11852038,42.38275986
116,1170,0,1,1,D22CBN5912,0,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000004487, , , , ,BG,0,999,CAMBRIDGE YOUTH CENTER PARKING,UNK,0,0,0, ,, ,-71.11851672,42.38286893
122,1181,0,1,1,D31CBN4081,57,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,4/25/02 0:00, ,CDPW,SCB000000975, , , , ,F,0,999,PKX LOT ON R OF FERNALD DR,UNK,0,0,0, ,, ,-71.12689221,42.38250399
124,1186,0,1,3,D22CBN2005,74,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000004384, ,STL,STL, ,OTH,0,999, ,UNK,1,0,0, ,8/22/11 0:00, ,-71.11487108,42.37653238
132,1197,0,1,1,D22CBN7007,4,IS,STORM,1/1/1753 12:00:00 AM,999, ,, ,CDPW,SCB000004418, , , , ,F,0,999,65 FROST,UNK,0,1,0, ,5/1/08 0:00, ,-71.11769156,42.38443442
135,1203,0,1,1,D29CBN1981,0,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000004438, , , , ,D,0,999,ROSELAND ST AND MASS AVE,UNK,0,1,0, ,7/18/11 0:00,Y,-71.11904561,42.38688662
136,1204,0,1,1,D29CBN1570,4,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,5/6/02 0:00, ,CDPW,SCB000004439, , , , ,D,0,999,1802 MASS AVE,UNK,0,0,0, ,, ,-71.11936577,42.38647264
142,1215,0,1,1,D22CBN0200,70,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/5/10 0:00,NEEDS VACTOR,CDPW,SCB000005286, , , , ,F,0,999,HARVARD SQUARE,UNK,0,0,0, ,8/13/09 0:00, ,-71.11873669,42.37358647
143,1216,0,1,1,D22CBN7008,4,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00,CLAMSHELL OBSTRUCTION - BRICKS INSIDE,CDPW,SCB000005287, , , , ,D,0,999,75 FROST ST,UNK,1,1,0, ,5/21/08 0:00,Y,-71.11774278,42.38434404
144,1219,0,1,1,D22CBN5706,4,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/26/11 0:00, ,CDPW,SCB000005292, , , , ,D,0,999,18 WENDELL ST,UNK,0,1,0, ,10/18/11 0:00,N,-71.11821525,42.38161183
145,1221,0,1,1,D22CBN4712,4,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/5/10 0:00, ,CDPW,SCB000005295, , , , ,F,0,999,ACROSS MELLEN ON OXFORD,UNK,0,1,0, ,4/20/10 0:00, ,-71.11635984,42.38072275
