FID,OBJECTID,ANCILLARYR,ENABLED,SUBTYPEFIE,FACILITYID,SYMBOLROTA,LIFECYCLES,WATERTYPE,INSTALLDAT,SURFACEELE,LASTEDITOR,LASTEDITDA,COMMENTS,OWNER,ARCFMID,HISTORICAL,FRAMEMATER,ACCESSMATE,WALLMATERI,GRATETYPE,DEPTH,INVERTELEV,ADDRESS,COATINGTYP,HOODED,CURBINLET,NORMENABLE,SOURCE1,LastCleanD,DEEP,x,y
952,2948,0,1,1,D40CBN4018,0,IS,STORM,1/24/74 0:00,999,GTS,3/27/09 0:00, ,CDPW,SCB000004666, ,UNK,UNK,UNK,D,0,999,12 WITTEMORE AVE.,UNK,0,1,0,PHASE1CONTRACT3SHEET19,4/13/09 0:00, ,-71.13526076,42.39848153
953,2953,0,1,1,D38CBN1445,30,IS,STORM,11/26/74 0:00,999,CDM,8/25/04 0:00, ,CDPW,SCB000004740, ,UNK,UNK,UNK,D,0,999,411 CONCORD AVE,UNK,0,0,0,PHASE2CONTRACT1SHEET5A,7/23/08 0:00, ,-71.13815889,42.38570369
954,2954,0,1,1,D38CBN2008,30,IS,STORM,11/26/74 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000004742, ,UNK,UNK,UNK,D,0,999,12 CORPORAL BURNS,UNK,0,1,0,PHASE2CONTRACT1SHEET5A,8/24/10 0:00, ,-71.13767272,42.38603611
955,2955,0,1,1,D38CBN2009,30,IS,STORM,11/26/74 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000005483, ,UNK,UNK,UNK,D,0,999, ,UNK,0,0,0,PHASE2CONTRACT1SHEET5A,6/25/10 0:00, ,-71.13777609,42.38607724
956,2957,0,1,1,D38CBN4245,30,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,4/24/02 0:00, ,CDPW,SCB000004723, , , ,CBLK,F,0,999,TOBIN SCHOOL PARKING LOT,UNK,0,1,0, ,, ,-71.13990271,42.38481226
957,2958,0,1,1,D38CBN4287,30,IS,STORM,1/1/1753 12:00:00 AM,999,MWH,4/24/02 0:00, ,CDPW,SCB000004724, , , , ,AG,0,999,TOBIN SCHOOL PARKING LOT,UNK,0,0,0, ,, ,-71.14058892,42.3850456
958,2960,0,1,1,D38CBN1924,30,IS,STORM,11/26/74 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000004757, ,UNK,UNK,UNK,D,0,999,FERN ST,UNK,0,0,0,PHASE2CONTRACT1SHEET4A,6/25/10 0:00, ,-71.13829803,42.38659677
959,2961,0,1,1,D38CBN2320,46,IS,STORM,11/26/74 0:00,999,GTS,12/13/10 0:00, ,CDPW,SCB000004760, ,UNK,UNK,UNK,D,0,999,FIELD ST AT FERN ST,UNK,1,0,0,PHASE2CONTRACT1SHEET5,11/23/10 0:00, ,-71.13801618,42.38719406
960,2962,0,1,1,D38CBN2323,46,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000004761, ,UNK,UNK,UNK,D,0,999,FIELD ST DANEHY PARK ENTRANCE,UNK,0,1,0,PHASE2CONTRACT1SHEET5,7/28/10 0:00, ,-71.1379803,42.38727943
961,2963,0,1,1,D38CBN2315,46,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000004754, ,UNK,UNK,UNK,F,0,999,ACROSS 66 FIELD ST,UNK,0,1,0,PHASE2CONTRACT1SHEET5,7/28/10 0:00, ,-71.13762332,42.38700875
962,2964,0,1,1,D38CBN2310,46,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00,RESET,CDPW,SCB000004743, ,UNK,UNK,UNK,D,0,999,66 FIELD ST,UNK,0,1,0,PHASE2CONTRACT1SHEET5,7/28/10 0:00, ,-71.13737475,42.38672048
965,2973,0,1,1,D36CBN8405,75,IS,STORM,6/1/01 0:00,22.31,GTS,10/6/10 0:00, ,CDPW,SCB000002521, ,CI,CI,CBLK,D,84,19.4,LARCH RD,UNK,1,1,0,FRESHPONDPARKWAYSU-2,3/26/10 0:00, ,-71.14393808,42.38153447
966,2974,0,1,1,D38CBN5302,0,IS,STORM,11/26/74 0:00,999,GTS,10/28/11 0:00,CLAMSHELL OBSTRUCTION - PIPE INSIDE,CDPW, , ,UNK,UNK,UNK,D,0,999, ,UNK,1,0,0,PHASE2CONTRACT1SHEET8A,8/28/08 0:00,Y,-71.13835671,42.38105524
967,2975,0,1,1,D38CBN4410,75,IS,STORM,11/26/74 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000004818, ,UNK,UNK,UNK,D,0,999,17 STANDISH ST,UNK,0,1,0,PHASE2CONTRACT1SHEET8B,9/28/10 0:00, ,-71.13896359,42.38181492
968,2976,0,1,1,D38CBN4420,75,IS,STORM,11/26/74 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000004821, ,CI,CI,CBLK,D,84,999,ACROSS 17 STANDISH ST,UNK,1,1,0,PHASE2CONTRACT1SHEET8B,9/28/10 0:00, ,-71.13902339,42.38173325
969,2977,0,1,1,D38CBN4409,75,IS,STORM,4/9/04 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000004819, ,UNK,UNK,UNK,F,0,999,9 MALCOLM RD,UNK,0,0,0,PHASE2CONTRACT1SHEET8B,9/24/10 0:00, ,-71.1391088,42.38181296
970,2978,0,1,1,D38CBN4415,75,IS,STORM,11/26/74 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000004820, ,UNK,UNK,UNK,D,0,999,16 MALCOLM RD,UNK,0,0,0,PHASE2CONTRACT1SHEET8B,9/24/10 0:00, ,-71.13907866,42.38174972
971,2979,0,1,1,D38CBN5606,15,IS,STORM,11/26/74 0:00,999,GTS,10/28/11 0:00,REPAIR,CDPW,SCB000002582, ,UNK,UNK,UNK,D,0,999,GRANVILLE,UNK,1,1,0,PHASE2CONTRACT1SHEET9,10/25/11 0:00,Y,-71.13620742,42.38277643
972,2980,0,1,1,D38CBN5604,45,IS,STORM,11/26/74 0:00,999,GTS,10/28/11 0:00,RESET,CDPW,SCB000002581, ,UNK,UNK,UNK,D,0,999,71 VASSAL LN,UNK,1,1,0,PHASE2CONTRACT1SHEET9,10/25/11 0:00,Y,-71.13607723,42.38281122
973,2981,0,1,1,D37CBN1028,36,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000003758, ,UNK,UNK,UNK,D,0,999,MANASSAS ON CONCORD,UNK,0,0,0,PHASE2CONTRACT1SHEET11,5/28/10 0:00, ,-71.13016502,42.38185856
974,2982,0,1,1,D37CBN1105,40,IS,STORM,11/26/74 0:00,999,GTS,12/13/10 0:00,CBMH,CDPW,SCB000003943, ,CI,CI,BRK,D,0,999,74 HURON,UNK,1,1,0,PHASE2CONTRACT1SHEET13,11/22/10 0:00, ,-71.12869691,42.38430384
975,2984,0,1,1,D37CBN1107,65,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00,CBMH,CDPW,SCB000000018, ,CI,CI,BRK,D,0,999,48 HURON,UNK,1,1,0,PHASE2CONTRACT1SHEET13,9/26/11 0:00,Y,-71.12798504,42.38463939
976,2985,0,1,1,D37CBN1106,65,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00,RESET,CDPW,SCB000003944, ,CI,CI,CBLK,D,84,999,57 HURON,UNK,1,1,0,PHASE2CONTRACT1SHEET13,9/26/11 0:00,Y,-71.12813977,42.38457516
977,2986,0,1,1,D39CBN3122,66,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000004871, ,UNK,UNK,UNK,F,0,999,146 UPLAND RD,UNK,1,1,0,PHASE2CONTRACT1SHEET16,6/27/11 0:00,N,-71.1247829,42.38700338
978,2990,0,1,1,D38CBN5905,30,IS,STORM,11/26/74 0:00,999,GTS,12/13/10 0:00, ,CDPW,SCB000004700, ,UNK,UNK,UNK,D,0,999,390 WALDEN ST,UNK,1,0,0,PHASE2CONTRACT1SHEET16A,10/27/10 0:00, ,-71.13458365,42.38331524
979,2994,0,1,1,D33CBN4108,45,IS,STORM,5/26/77 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000000003, , , , ,D,0,999,620 HURON,UNK,0,1,0,PHASE4CONTRACT2SHEET13,8/30/10 0:00, ,-71.15064471,42.37938299
980,2996,0,1,1,D37CBN2122,65,IS,STORM,11/26/74 0:00,999,GTS,12/13/10 0:00, ,CDPW,SCB000003945, ,CI,CI,CBLK,D,84,999,272 NEWELL,UNK,1,1,0,PHASE2CONTRACT1SHEET14,10/25/10 0:00, ,-71.12799459,42.3851234
981,2997,0,1,1,D37CBN2121,65,IS,STORM,11/26/74 0:00,999,GTS,12/13/10 0:00, ,CDPW,SCB000003946, ,CI,CI,CBLK,D,84,999,273 NEWELL,UNK,1,1,0,PHASE2CONTRACT1SHEET14,10/15/10 0:00, ,-71.12809546,42.38507943
982,2998,0,1,1,D37CBN1906,65,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000003977, ,CI,CI,CBLK,D,84,999,202 WALDEN,UNK,1,1,0,PHASE2CONTRACT1SHEET14,6/27/11 0:00,Y,-71.12944149,42.3866789
983,3002,0,1,1,D31CBN4931,57,IS,STORM,7/25/80 0:00,999,GTS,10/6/10 0:00,REPAIR,CDPW,SCB000000940, ,UNK,UNK,UNK,D,999,999,PKX LOT ON WALKER ST SMALL SCL,UNK,0,0,0,PHASE5CONTRACT1SHEET7,4/26/10 0:00, ,-71.12408341,42.38243267
984,3003,0,1,1,D31CBN8304,57,IS,STORM,7/25/80 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000000890, ,CI,CI,CBLK,D,84,999,4 HURLBUT ST,UNK,1,1,0,PHASE5CONTRACT1SHEET9,7/26/10 0:00, ,-71.12027837,42.38345468
985,3004,0,1,1,D39CBN5097,22,IS,STORM,1/1/1753 12:00:00 AM,999,GTS,10/5/10 0:00, ,CDPW,SCB000004906, , , , ,D,0,999,CORNER OF PEMB CT AND HASKELL,UNK,0,1,0, ,4/21/10 0:00, ,-71.12782031,42.39043473
986,3005,0,1,1,D39CBN5099,0,IS,STORM,11/19/75 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000004903, ,CI,CI,CBLK,D,84,999,CORNER OF PEMB CT AND HASKELL,UNK,1,1,0,PHASE2CONTRACT2SHEET7,10/20/11 0:00,Y,-71.12760914,42.39045721
987,3009,0,1,1,D39CBN3131,0,IS,STORM,11/19/75 0:00,999,GTS,10/5/10 0:00, ,CDPW,SCB000004951, ,UNK,UNK,UNK,F,0,999,48 HASKELL ST,UNK,0,1,0,PHASE2CONTRACT2SHEET7,9/16/10 0:00, ,-71.12762735,42.39198552
988,3010,0,1,1,D39CBN3132,0,IS,STORM,11/19/75 0:00,999,CDM,9/28/04 0:00, ,CDPW,SCB000004950, ,UNK,UNK,UNK,AG,0,999,ACROSS 48 HASKELL,UNK,0,0,0,PHASE2CONTRACT2SHEET7,, ,-71.12767814,42.39204205
989,3013,0,1,1,D01CBN9434,57,IS,STORM,11/19/75 0:00,999,GTS,10/27/11 0:00, ,CDPW,SCB000003309, ,CI,CI,BRK,D,0,999,ALBANY,UNK,1,1,0,PHASE2CONTRACT2SHEET8A,9/6/11 0:00,Y,-71.09353128,42.36201067
990,3018,0,1,1,D01CBN2654,23,IS,STORM,7/20/76 0:00,22.3,GTS,10/27/11 0:00, ,CDPW, , ,STL,STL, ,F,0,18, ,UNK,1,0,0,PHASE3CONTRACT3SHEET20,9/7/11 0:00,Y,-71.09816803,42.37325558
991,3019,0,1,1,D01CBN2570,23,IS,STORM,7/20/76 0:00,999,CDM,1/7/05 0:00, ,CDPW, , ,STL,STL, ,D,0,999, ,UNK,0,0,0,PHASE3CONTRACT3SHEET21,7/10/08 0:00, ,-71.09809647,42.37236166
992,3021,0,1,1,D32CBN4615,0,IS,STORM,5/26/77 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000002648, , , , ,F,0,999,20 HOLWORTHY,UNK,0,1,0,PHASE4CONTRACT2SHEET11,6/22/10 0:00, ,-71.14989781,42.37524569
993,3022,0,1,1,D32CBN4614,79,IS,STORM,5/26/77 0:00,999,GTS,10/28/11 0:00, ,CDPW,SCB000002612, , , , ,F,0,999,36 HALLWORTHY,UNK,1,1,0,PHASE4CONTRACT2SHEET11,8/24/11 0:00,Y,-71.15008411,42.37552121
994,3023,0,1,1,D32CBN4610,79,IS,STORM,5/26/77 0:00,999,GTS,10/28/11 0:00, ,CDPW,SCB000002613, ,STL,STL, ,F,0,999,40 HALLWORTHY,UNK,1,0,0,PHASE4CONTRACT2SHEET11,8/24/11 0:00,Y,-71.15017232,42.37583911
995,3024,0,1,1,D32CBN4609,79,IS,STORM,5/26/77 0:00,999,GTS,10/6/10 0:00,REPAIR,CDPW,SCB000002649, ,STL,STL, ,F,0,999,43 HOLWORTHY,UNK,0,0,0,PHASE4CONTRACT2SHEET11,6/22/10 0:00, ,-71.15006688,42.37585171
996,3025,0,1,1,D01CBN3095,23,IS,STORM,6/1/77 0:00,999,CDM,12/21/04 0:00,CBMH,CDPW,SCB000003042, , , , ,F,0,999,34 BERKSHIRE,UNK,0,0,0,PHASE3CONTRACT4SHEET4,2/10/10 0:00, ,-71.09151038,42.36930038
997,3026,0,1,1,D01CBN3233,23,IS,STORM,6/1/77 0:00,999,GTS,10/27/11 0:00, ,CDPW,SCB000003039, , , , ,F,0,999,58 BERKSHIRE,UNK,1,0,0,PHASE3CONTRACT4SHEET4,9/1/11 0:00,Y,-71.09122195,42.36980592
998,3027,0,1,1,D01CBN3234,23,IS,STORM,6/1/77 0:00,999,GTS,10/27/11 0:00, ,CDPW,SCB000003040, , , , ,D,0,999,56 BERKSHIRE,UNK,1,1,0,PHASE3CONTRACT4SHEET4,9/1/11 0:00,Y,-71.09116617,42.36972737
999,3028,0,1,1,D01CBN3263,23,IS,STORM,6/1/77 0:00,999,CDM,12/21/04 0:00, ,CDPW,SCB000003038, , , , ,D,0,999,78 BERKSHIRE,UNK,0,1,0,PHASE3CONTRACT4SHEET5,9/3/09 0:00, ,-71.09088529,42.37039881
1000,3029,0,1,1,D01CBN3264,23,IS,STORM,6/1/77 0:00,999,GTS,10/14/10 0:00, ,CDPW,SCB000003105, , , , ,D,0,999,78 BERKSHIRE,UNK,1,1,0,PHASE3CONTRACT4SHEET5,10/6/10 0:00, ,-71.090812,42.37035031
1001,3030,0,1,1,D01CBN3366,23,IS,STORM,6/1/77 0:00,999,GTS,10/27/11 0:00, ,CDPW,SCB000003822, ,STL,STL, ,F,0,999,122 BERKSHIRE,UNK,1,0,0,PHASE3CONTRACT4SHEET6,9/7/11 0:00,Y,-71.09014261,42.37152401
1002,3031,0,1,1,D01CBN3369,23,IS,STORM,6/1/77 0:00,999,GTS,10/27/11 0:00,RESET,CDPW,SCB000003035, ,STL,STL, ,F,0,999,BERKSHIRE ST,UNK,1,0,0,PHASE3CONTRACT4SHEET6,9/1/11 0:00,Y,-71.09006226,42.37183949
1003,3032,0,1,1,D01CBN3043,23,IS,STORM,6/1/77 0:00,999,GTS,10/27/11 0:00, ,CDPW,SCB000003588, , , , ,F,0,999,51 PLYMOUTH,UNK,1,1,0,PHASE3CONTRACT4SHEET16,9/1/11 0:00,Y,-71.09275854,42.36911613
1004,3033,0,1,1,D01CBN3041,23,IS,STORM,6/1/77 0:00,999,GTS,12/13/10 0:00, ,CDPW, , ,STL,STL, ,F,0,999, ,UNK,1,0,0,PHASE3CONTRACT4SHEET7,11/4/10 0:00, ,-71.09280287,42.36927731
1005,3034,0,1,1,D01CBN3042,23,IS,STORM,6/1/77 0:00,999,GTS,10/14/10 0:00, ,CDPW, , ,STL,STL, ,F,0,999, ,UNK,0,0,0,PHASE3CONTRACT4SHEET7,10/6/10 0:00, ,-71.09270836,42.36927244
1006,3035,0,1,1,D01CBN3205,23,IS,STORM,8/1/79 0:00,999,GTS,10/14/10 0:00, ,CDPW,SCB000003106, ,STL,STL, ,F,0,999,1 HARDWICK,UNK,0,0,0,CRA CONTRACT 14 SHT 03 1982,10/6/10 0:00, ,-71.08993591,42.36972944
1008,3040,0,1,1,D32CBN7215,75,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00,RESET,CDPW,SCB000002722, ,UNK,UNK,UNK,D,0,999,57 LAKEVIEW AVE,UNK,0,1,0,PHASE2CONTRACT1SHEET7,4/27/10 0:00, ,-71.13895907,42.37810127
1009,3041,0,1,1,D32CBN7214,75,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00,RESET,CDPW,SCB000002721, ,CI,CI,CBLK,D,84,999,58 LAKEVIEW AVE,UNK,1,1,0,PHASE2CONTRACT1SHEET7,4/27/10 0:00, ,-71.13908526,42.37811657
1010,3043,0,1,1,D37CBN1858,30,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000003782, ,CI,CI,CBLK,D,84,999,41 TIERNEY,UNK,0,1,0,PHASE2CONTRACT1SHEET12,7/28/10 0:00, ,-71.13107588,42.38400586
1011,3044,0,1,1,D37CBN1857,30,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00,NEEDS VACTOR,CDPW,SCB000003781, ,CI,CI,CBLK,D,84,999,42 TIERNEY ST,UNK,1,1,0,PHASE2CONTRACT1SHEET12,6/22/10 0:00, ,-71.13114386,42.38397642
1012,3045,0,1,1,D37CBN1860,30,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000003780, ,UNK,UNK,UNK,D,0,999,20 WINSLOW ST,UNK,0,0,0,PHASE2CONTRACT1SHEET12,6/23/10 0:00, ,-71.13055094,42.38373564
1013,3046,0,1,1,D37CBN1929,66,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00, ,CDPW, , ,CI,CI,CBLK,D,84,999, ,UNK,1,1,0,PHASE2CONTRACT1SHEET15,9/26/11 0:00,Y,-71.12619206,42.38655676
1014,3048,0,1,1,D37CBN1921,66,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00, ,CDPW, , ,CI,CI,CBLK,F,84,999, ,UNK,1,1,0,PHASE2CONTRACT1SHEET15,9/16/11 0:00,Y,-71.12695566,42.38629183
1015,3049,0,1,1,D39CBN3124,66,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000004870, ,UNK,UNK,UNK,F,0,999,140 UPLAND RD,UNK,0,0,0,PHASE2CONTRACT1SHEET16,6/27/11 0:00,N,-71.12463225,42.38702089
1016,3050,0,1,1,D29CBN3115,66,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000004868, ,UNK,UNK,UNK,F,0,999,85 upland rd,UNK,1,0,0,PHASE2CONTRACT1SHEET16,10/21/11 0:00,Y,-71.12270206,42.38766698
1017,3051,0,1,1,D29CBN3120,66,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000005019, ,CI,CI,CBLK,D,84,999,OPPOSITE 95 UPLAND RD,UNK,1,1,0,PHASE2CONTRACT1SHEET16,10/21/11 0:00,Y,-71.12295691,42.38750578
1018,3053,0,1,1,D37CBN1747,65,IS,STORM,11/26/74 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000003979, ,CI,CI,CBLK,D,0,999,21 WOOD,UNK,1,1,0,PHASE2CONTRACT1SHEET17,10/21/11 0:00,Y,-71.12956664,42.38751182
1019,3054,0,1,1,D37CBN1750,65,IS,STORM,11/26/74 0:00,999,GTS,10/6/10 0:00, ,CDPW, , ,CI,CI,CBLK,F,0,999, ,UNK,1,1,0,PHASE2CONTRACT1SHEET17,9/27/10 0:00, ,-71.12986918,42.38790295
1020,3057,0,1,1,D41CBN2108,0,IS,STORM,11/19/75 0:00,999,GTS,10/26/11 0:00, ,CDPW,SCB000004581, ,UNK,UNK,UNK,D,0,999,14 HARRINGTON RD,UNK,1,0,0,PHASE2CONTRACT2SHEET3B,8/18/11 0:00,Y,-71.13158846,42.39657165
1021,3058,0,1,1,D40CBN4107,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW, , ,UNK,UNK,UNK,D,0,999, ,UNK,0,0,0,PHASE1CONTRACT3SHEET18,, ,-71.13604858,42.39894831
1022,3059,0,1,1,D40CBN4007,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW,SCB000004668, ,UNK,UNK,UNK,D,0,999,WITTEMORE AND 58 MADISON AVE.,UNK,0,1,0,PHASE1CONTRACT3SHEET18,10/20/08 0:00, ,-71.13617904,42.39860753
1023,3060,0,1,1,D40CBN4008,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW,SCB000004667, ,UNK,UNK,UNK,D,0,999,CORNER OF WITTEMORE AND MADISN,UNK,0,1,0,PHASE1CONTRACT3SHEET18,10/20/08 0:00, ,-71.13600937,42.39859429
1024,3061,0,1,1,D40CBN4211,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW,SCB000004660, ,CI,CI,CBLK,D,84,999,40 MAGOUN ST.,UNK,1,1,0,PHASE1CONTRACT3SHEET19,8/25/08 0:00, ,-71.13516786,42.39937604
1025,3062,0,1,1,D40CBN4212,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW,SCB000004661, ,UNK,UNK,UNK,D,0,999,41-43 MAGOUN ST.,UNK,0,1,0,PHASE1CONTRACT3SHEET19,, ,-71.13525502,42.39935431
1026,3063,0,1,1,D40CBN4206,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW,SCB000004662, ,UNK,UNK,UNK,D,0,999,56 MAGOUN ST.,UNK,0,1,0,PHASE1CONTRACT3SHEET19,8/25/08 0:00, ,-71.13516079,42.39898323
1027,3064,0,1,1,D40CBN4201,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW,SCB000004663, ,UNK,UNK,UNK,D,0,999,57 MAGOUN ST.,UNK,0,1,0,PHASE1CONTRACT3SHEET19,10/20/08 0:00, ,-71.1352472,42.39883563
1028,3066,0,1,1,D06CBN0120,65,IS,STORM,2/26/91 0:00,999,GTS,10/7/10 0:00,RESET,CDPW,SCB000001692, ,UNK,UNK,UNK,DC,0,999,AMHERST,UNK,0,0,0,PHASE1CONTRACT91-2SHEET3,3/17/10 0:00, ,-71.08697906,42.36029722
1029,3067,0,1,1,D40CBN4106,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW,SCB000004669, ,CI,CI,CBLK,D,84,999,50 MADISON AVE.,UNK,1,1,0,PHASE1CONTRACT3SHEET18,, ,-71.1361417,42.39897221
1030,3068,0,1,1,D40CBN0026,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW, , ,UNK,UNK,UNK,D,0,999, ,UNK,0,0,0,PHASE1CONTRACT3SHEET18,, ,-71.13605965,42.39963546
1031,3069,0,1,1,D40CBN0027,0,IS,STORM,1/24/74 0:00,999,CDM,8/18/04 0:00, ,CDPW, , ,UNK,UNK,UNK,D,0,999, ,UNK,0,0,0,PHASE1CONTRACT3SHEET18,12/29/08 0:00, ,-71.13614959,42.39963454
1032,3075,0,1,1,D10CBN3317,38,IS,STORM,11/19/75 0:00,999,CDM,9/28/04 0:00, ,CDPW,SCB000003938, ,UNK,UNK,UNK,D,0,999,GREEN AT PEARL,UNK,0,1,0,PHASE2CONTRACT2SHEET9,, ,-71.10326459,42.36418071
1033,3078,0,1,1,D01CBN2422,25,IS,STORM,7/20/76 0:00,999,GTS,10/7/10 0:00, ,CDPW, , ,STL,STL, ,OTH,0,999, ,UNK,0,0,0,PHASE3CONTRACT3SHEET17,8/23/10 0:00, ,-71.08638502,42.37306431
1034,3079,0,1,1,D39CBN3316,80,IS,STORM,11/19/75 0:00,999,GTS,12/13/10 0:00, ,CDPW,SCB000004965, , , , ,D,0,999,ACROSS 60 PEMBERTON,UNK,1,1,0,PHASE2CONTRACT2SHEET5,11/18/10 0:00, ,-71.13065585,42.3915714
1039,3094,0,1,1,D38CBN1707,0,IS,STORM,6/1/98 0:00,999,GTS,6/14/10 0:00, ,CDPW,SCB000004773, ,UNK,UNK,UNK,F,0,999,NEW ST AT BAY STATE D,UNK,0,0,0,Fresh Pond Asbuilt S11C03,8/1/08 0:00, ,-71.14105117,42.3872871
1040,3095,0,1,1,D38CBN1825,75,IS,STORM,11/26/74 0:00,999,GTS,12/13/10 0:00, ,CDPW,SCB000004764, ,UNK,UNK,UNK,D,0,999,67 BAY STATE RD,UNK,0,1,0,PHASE2CONTRACT1SHEET4,11/23/10 0:00, ,-71.13870412,42.38751061
1041,3097,0,1,1,D36CBN4621,11,IS,STORM,11/19/75 0:00,999,CDM,10/21/04 0:00, ,CDPW, , ,CI,CI,CC,OTH,84,999, ,UNK,1,1,0,ALEWIFEPHASE2SHEET5,, ,-71.15146999,42.39226115
1042,3098,0,1,1,D36CBN4727,85,IS,STORM,8/15/80 0:00,999,CDM,10/13/04 0:00, ,CDPW,SCB000002422, , ,UNK,UNK,D,999,999,11 SMITH,UNK,0,0,0,ALEWIFEPHASE1SHEET6,, ,-71.15080545,42.3906692
1043,3099,0,1,1,D34CBN3061,11,IS,STORM,8/15/80 0:00,999,GTS,10/27/11 0:00, ,CDPW,SCB000002311, ,UNK,UNK,UNK,D,999,999,BK CONCORD AVE,UNK,1,1,0,ALEWIFEPHASE1SHEET6,7/6/11 0:00,Y,-71.15053789,42.39016041
1044,3100,0,1,1,D31CBN4060,57,IS,STORM,7/25/80 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000000839, ,UNK,UNK,UNK,D,999,999,GARDEN AND BOND,UNK,0,1,0,PHASE5CONTRACT1SHEET3,4/28/10 0:00, ,-71.12626728,42.38147672
1045,3101,0,1,1,D31CBN4019,57,IS,STORM,7/25/80 0:00,999,GTS,10/6/10 0:00, ,CDPW,SCB000000834, ,UNK,UNK,UNK,D,999,999,GARDEN AND SHEPARD,UNK,0,0,0,PHASE5CONTRACT1SHEET2,6/24/10 0:00, ,-71.12506041,42.38021099
1046,3110,0,1,1,D21CBN1662,11,IS,STORM,8/25/89 0:00,999,CDM,10/4/04 0:00, ,CDPW,SCB000001407, ,CI,CI,CBLK,D,84,999,QUINCY ST.,UNK,1,1,0,PHASE6CONTRACT1BSHEET3,, ,-71.1146891,42.37381852
1047,3112,0,1,1,D21CBN3914,32,IS,STORM,8/25/89 0:00,999,GTS,10/27/11 0:00, ,CDPW, , ,UNK,UNK,UNK,D,999,999, ,UNK,0,0,0,PHASE6CONTRACT1BSHEET5,10/14/11 0:00,Y,-71.11476743,42.37116619
1048,3113,0,1,1,D21CBN1047,0,IS,STORM,8/25/89 0:00,999,CDM,10/5/10 0:00, ,CDPW, , ,UNK,UNK,UNK,F,999,999, ,UNK,0,0,0,PHASE6CONTRACT1BSHEET5,4/8/10 0:00, ,-71.11566208,42.37169824
1049,3115,0,1,1,D21CBN0910,45,IS,STORM,8/25/89 0:00,999,GTS,10/26/11 0:00,REPAIR - NOT HOLDING WATER,CDPW,SCB000001380, ,UNK,UNK,UNK,D,999,999,REMINGTON AND MASS,UNK,1,1,0,Phase 6 Contract 1 Sht 12,10/11/11 0:00,Y,-71.11375431,42.37087415
1050,3117,0,1,1,D36CBN4204,11,IS,STORM,8/15/80 0:00,999,CDM,10/13/04 0:00, ,CDPW,SCB000002374, ,UNK,UNK,UNK,D,999,999,180 FAWCETT,UNK,0,0,0,ALEWIFEPHASE1SHEET4,10/23/08 0:00, ,-71.15031474,42.39352142
