X,Y,OBJECTID,Subtype,FacilityID,InstallDat,LifecycleS,WaterType,PlanNum,Owner,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,Plan1,Plan2,Plan3,FeatureID,DupeNum,Source,OrthoUpdated,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Dewb_Edited
-71.1242933447792,42.396960776676,"3120",,SW-CB-03005,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{7BD40C9F-CEC4-4401-AF52-4F8DDAAB8959},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1097061609967,42.3917116552181,"3121","0",SW-CB-00466,9999/09/09 00:00:00,Active,Storm,TB-044,Somerv, ,"9999",Unk,Unk,"9999",66.58, ,62.28,TB-044,,,CB-SD-467,"1",Original City Data,Yes,{DBE55543-212F-4A52-85B9-E43AF3F7A4FC},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0981246128137,42.3844569449091,"3122",,SW-CB-00732,,,,,,,,,,,,,,,,,,,Stantec,Yes,{D7F2CF95-EDCF-46EC-BBFF-A4A97AEB532D},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1010846605586,42.3794858444097,"3123",,SW-CB-02366,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{815ADDA4-5C1B-411E-9E14-A7CBB9314DC7},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1095198456287,42.3838384513624,"3124",,SW-CB-00929,,,,,,,,,,,,,,,,,,,Stantec,Yes,{26560EC7-8741-4F8F-9D03-C94802FD6028},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0907180583853,42.3861968132808,"3125",,SW-CB-01121,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{6BC863A8-C7D4-40DE-A0AB-6E26EDACE2EA},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0810710420316,42.3793467329879,"3126",,SW-CB-01624,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{4D052987-1053-42B2-900F-2FE899458B32},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.0906488955199,42.3977866897162,"3127","1",SW-CB-00549,9999/09/09 00:00:00,Active,Storm,I-93 PLAN,Somerv,"AREA HAS CHANGED, SEE I-93 PLANS","9999",Unk,Unk,"9999",9999, ,5.3,I-93 PLAN,,,CB-SD-550,"1",Original City Data,Yes,{A31987F1-39AA-4E45-9160-057C9FBCC50C},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1053894422604,42.3823517202003,"3128",,SW-CB-02626,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{0A5DC33F-8797-40F4-A264-A3E96A2904DA},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1291161560924,42.4044704708335,"3129",,SW-CB-03083,,,,,,,,,,,,,,,,,,,2017 Orthophotography,Yes,{E80FC3EE-26B9-45A5-B445-352FCEF25C2F},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
-71.1030011347827,42.3830361696325,"3130",,SW-CB-01043,,,,,,,,,,,,,,,,,,,Stantec,Yes,{3080765A-C282-4727-8A2E-E562E826081F},GIS,2020/09/17 15:47:23,GIS,2020/09/17 15:47:23,
