FID,ANCILLARYR,ENABLED,SUBTYPE,INSTALLDAT,LIFECYCLES,PLANNUM,OWNER,COMMENTS,RIMELEVATI,BASEELEVAT,INITIAL,STREETNAME,TYPE,FID2,ACCESSTYPE,ACCESSMAT,SEALMETHD,WALLMATERI,CONDITION,CLEANING,SUMP,HOODED,FEATUREID,COMMENT,REINSPECT,DATESTAMP,CREW,DataSource,Depth_to_S,SedimentDe,SOURCE_1,x,y
1,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,782,UNK,CI, ,BRICK,GOOD,NONE,YES,NO,782, ,NO,11/26/03 9:18,Laptop 2,2,999,999,FIELD,-71.05312061,42.46212728
2,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,783,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,783,"CLEANING, ASPHALT",NO,11/26/03 9:18,Laptop 2,2,999,999,FIELD,-71.05296544,42.46208378
3,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,784,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,784,"CLEANING, ASPHALT",NO,11/26/03 9:18,Laptop 2,2,999,999,FIELD,-71.05284329,42.46211127
4,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,785,CGR,CI, ,MHBLK,GOOD,NONE,YES,NO,785, ,NO,11/26/03 9:18,Laptop 2,2,999,999,FIELD,-71.05278648,42.46217965
5,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,786,CGR,CI, ,BRICK,GOOD,DEBRIS,NO,NO,786,"CLEANING, ASPHALT",NO,11/18/03 9:10,Laptop 2,2,999,999,FIELD,-71.05185428,42.46227279
6,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,790,DGR,CI, ,UNK,UNK,UNK,UNK,UNK,790, ,IMMOVABLE COVER,11/18/03 12:01,Laptop 2,2,999,999,FIELD,-71.04980657,42.46177261
7,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,791,DGR,CI, ,UNK,UNK,UNK,UNK,UNK,791,BROKEN D-GRATE,IMMOVABLE COVER,11/18/03 12:53,Laptop 2,2,999,999,FIELD,-71.04987805,42.46174322
8,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,792,DGR,CI, ,BRICK,GOOD,NONE,YES,YES,792, ,NO,11/26/03 9:02,Laptop 2,2,999,999,FIELD,-71.05021235,42.46251607
9,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,793,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,793, ,NO,11/26/03 9:02,Laptop 2,2,999,999,FIELD,-71.05013039,42.46254859
10,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,794,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,794, ,NO,11/26/03 9:05,Laptop 2,2,999,999,FIELD,-71.05103308,42.46240084
11,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,795,GR,STEEL, ,MHBLK,GOOD,NONE,YES,NO,795, ,NO,11/25/03 16:07,Laptop 2,2,999,999,FIELD,-71.0460075,42.46305151
12,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,796,GR,STEEL, ,MHBLK,GOOD,SAND,YES,NO,796, ,NO,11/25/03 16:07,Laptop 2,2,999,999,FIELD,-71.04611227,42.46303734
13,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,797,GR,STEEL, ,MHBLK,GOOD,LEAVES,YES,NO,797, ,NO,11/25/03 16:09,Laptop 2,2,999,999,FIELD,-71.04710974,42.46292487
14,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,799,GR,STEEL, ,BRICK,GOOD,NONE,YES,NO,799, ,NO,11/26/03 8:39,Laptop 2,2,999,999,FIELD,-71.04620712,42.46177657
15,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,801,GR,CI, ,BRICK,GOOD,NONE,YES,YES,801,ENCLOSED PIPE RUNNING THROUGH,NO,11/26/03 8:39,Laptop 2,2,999,999,FIELD,-71.04616336,42.46168192
16,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,802,GR,STEEL, ,BRICK,GOOD,NONE,YES,YES,802, ,NO,11/26/03 8:39,Laptop 2,2,999,999,FIELD,-71.04647434,42.46178748
17,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,803,CGR,STEEL, ,BRICK,GOOD,NONE,YES,NO,803, ,NO,11/26/03 8:52,Laptop 2,2,999,999,FIELD,-71.04814454,42.46197706
18,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,804,CGR,STEEL, ,BRICK,GOOD,NONE,YES,NO,804, ,NO,11/26/03 8:52,Laptop 2,2,999,999,FIELD,-71.04807511,42.46199951
19,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,805,GR,STEEL, ,BRICK,GOOD,NONE,YES,NO,805, ,NO,11/17/03 12:42,Laptop 2,2,999,999,FIELD,-71.04846081,42.46276902
20,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,806,CGR,CI, ,BRICK,GOOD,NONE,YES,YES,806, ,NO,11/17/03 14:23,Laptop 2,2,999,999,FIELD,-71.04807846,42.46291932
21,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,807,DGR,CI, ,UNK,UNK,UNK,UNK,UNK,807,"BROKEN GRATE, REINSPECT TO CONNECT TO SYSTEM",IMMOVABLE COVER,11/17/03 14:22,Laptop 2,2,999,999,FIELD,-71.04806973,42.46286465
22,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,810,GR,CI, ,MHBLK,GOOD,NONE,YES,NO,810, ,NO,11/25/03 16:03,Laptop 2,2,999,999,FIELD,-71.04502212,42.46336801
23,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,811,GR,CI, ,MHBLK,GOOD,NONE,YES,NO,811, ,NO,11/25/03 16:03,Laptop 2,2,999,999,FIELD,-71.04502205,42.46331121
24,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,813,MHC,CI, ,MHBLK,GOOD,NONE,YES,NO,813, ,NO,11/25/03 16:01,Laptop 2,2,999,999,FIELD,-71.04348369,42.46365071
25,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,823,DGR,CI, ,MHBLK,GOOD,NONE,YES,NO,823, ,NO,11/26/03 8:28,Laptop 2,2,999,999,FIELD,-71.04433642,42.46163275
26,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,824,DGR,CI, ,MHBLK,GOOD,SAND,YES,NO,824, ,NO,11/14/03 13:47,Laptop 2,2,999,999,FIELD,-71.04422917,42.46158038
27,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,825,DGR,CI, ,MHBLK,GOOD,NONE,YES,NO,825, ,NO,11/25/03 17:33,Laptop 2,2,999,999,FIELD,-71.04258079,42.46208391
28,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,826,DGR,CI, ,MHBLK,GOOD,NONE,YES,NO,826, ,NO,11/25/03 17:33,Laptop 2,2,999,999,FIELD,-71.04243635,42.46221787
29,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,827,DGR,CI, ,MHBLK,GOOD,SAND,YES,NO,827, ,NO,11/25/03 17:34,Laptop 2,2,999,999,FIELD,-71.04227977,42.46217787
30,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,859,GR,CI, ,BRICK,GOOD,NONE,YES,NO,859, ,NO,11/26/03 9:11,Laptop 2,2,999,999,FIELD,-71.05245944,42.46055022
31,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,860,GR,CI, ,BRICK,GOOD,NONE,YES,NO,860, ,NO,11/26/03 9:11,Laptop 2,2,999,999,FIELD,-71.05255369,42.46059117
32,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,861,GR,CI, ,BRICK,GOOD,NONE,NO,NO,861, ,NO,11/18/03 10:55,Laptop 2,2,999,999,FIELD,-71.05277993,42.46145005
33,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,862,CGR,CI, ,BRICK,GOOD,NONE,YES,YES,862, ,NO,11/18/03 10:53,Laptop 2,2,999,999,FIELD,-71.05271481,42.4614881
34,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2,NORMAN RD,CB,863,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,863, ,NO,11/26/03 9:10,Laptop 2,2,999,999,FIELD,-71.0516197,42.46122756
35,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2,NORMAN RD,CB,864,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,864, ,NO,11/26/03 9:10,Laptop 2,2,999,999,FIELD,-71.051549,42.46124111
36,0,1,1,8/8/88 0:00,Active,S-088,Melrose, ,888,888,SUB,NORMAN RD,CB,865,CGR,CI, ,BRICK,GOOD,NONE,YES,YES,865,BROKEN GRATE CORNER,NO,11/26/03 9:08,Laptop 2,2,999,999,AB/FIELD,-71.05129151,42.46041786
37,0,1,1,8/8/88 0:00,Active,S-088,Melrose, ,888,888,SUB,NORMAN RD,CB,866,CGR,CI, ,BRICK,GOOD,NONE,YES,YES,866, ,NO,11/26/03 9:07,Laptop 2,2,999,999,AB/FIELD,-71.05136014,42.46040685
38,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,868,CGR,STEEL, ,BRICK,GOOD,NONE,YES,NO,868, ,NO,11/26/03 8:44,Laptop 2,2,999,999,FIELD,-71.04769664,42.46121617
39,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,869,CGR,CI, ,BRICK,GOOD,NONE,YES,YES,869, ,NO,11/26/03 8:42,Laptop 2,2,999,999,FIELD,-71.04717168,42.46035923
40,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,870,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,870, ,NO,11/26/03 8:42,Laptop 2,2,999,999,FIELD,-71.04723988,42.46034103
41,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,871,GR,CI, ,MHBLK,GOOD,NONE,YES,NO,871,"BROKEN STREET CURB, HUGE HOLE",OTH,11/26/03 8:40,Laptop 2,2,999,999,FIELD,-71.04657357,42.45937427
42,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,887,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,887, ,NO,11/25/03 17:10,Laptop 2,2,999,999,FIELD,-71.0457052,42.45992958
43,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,888,DGR,CI, ,UNK,UNK,UNK,UNK,UNK,888, ,CAR PARKED,11/14/03 14:39,Laptop 2,2,999,999,FIELD,-71.04588199,42.4600407
44,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,889,CGR,CI, ,BRICK,GOOD,LEAVES,YES,NO,889, ,NO,11/25/03 17:10,Laptop 2,2,999,999,FIELD,-71.04583312,42.46013554
45,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,890,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,890, ,NO,11/25/03 17:11,Laptop 2,2,999,999,FIELD,-71.0449455,42.46041294
46,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,891,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,891, ,NO,11/25/03 17:11,Laptop 2,2,999,999,FIELD,-71.04480839,42.46038636
47,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,892,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,892, ,NO,11/14/03 15:24,Laptop 2,2,999,999,FIELD,-71.04427524,42.46030078
48,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 1, ,CB,270,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,270, ,NO,10/3/03 9:31,Laptop 1,2,999,999,FIELD,-71.07660563,42.45476978
49,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,893,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,893, ,NO,11/25/03 17:18,Laptop 2,2,999,999,FIELD,-71.04395614,42.46042341
50,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,894,DGR,CI, ,BRICK,GOOD,LEAVES,YES,NO,894, ,NO,11/25/03 17:19,Laptop 2,2,999,999,FIELD,-71.04384771,42.46053996
51,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,895,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,895, ,NO,11/25/03 17:19,Laptop 2,2,999,999,FIELD,-71.04373456,42.46056198
52,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,896,CGR,STEEL, ,BRICK,GOOD,NONE,YES,NO,896, ,NO,11/26/03 8:29,Laptop 2,2,999,999,FIELD,-71.04526003,42.4614509
53,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,897,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,897, ,NO,11/26/03 8:29,Laptop 2,2,999,999,FIELD,-71.04537911,42.46130638
54,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,899,CGR,CI, ,BRICK,GOOD,LEAVES,YES,NO,899, ,NO,11/26/03 8:28,Laptop 2,2,999,999,FIELD,-71.04554584,42.46117241
55,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,901,DGR,CI, ,BRICK,GOOD,LEAVES,YES,NO,901, ,NO,11/25/03 17:22,Laptop 2,2,999,999,FIELD,-71.04296568,42.46135358
56,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,903,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,903, ,NO,11/25/03 17:22,Laptop 2,2,999,999,FIELD,-71.04304469,42.46131284
57,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,904,GR,STEEL, ,MHBLK,GOOD,NONE,YES,NO,904, ,NO,11/25/03 17:19,Laptop 2,2,999,999,FIELD,-71.04274163,42.46074181
58,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,905,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,905, ,NO,11/25/03 17:19,Laptop 2,2,999,999,FIELD,-71.04280658,42.46058505
59,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,906,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,906, ,NO,11/25/03 17:20,Laptop 2,2,999,999,FIELD,-71.04266091,42.46052746
60,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,907,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,907, ,NO,11/25/03 17:25,Laptop 2,2,999,999,FIELD,-71.0416564,42.46091457
61,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,908,DGR,CI, ,BRICK,GOOD,NONE,YES,NO,908, ,NO,11/25/03 17:25,Laptop 2,2,999,999,FIELD,-71.04148553,42.4608612
62,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,909,GR,STEEL, ,MHBLK,GOOD,NONE,YES,YES,909, ,NO,11/25/03 17:25,Laptop 2,2,999,999,FIELD,-71.04140974,42.46097541
63,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,910,DGR,CI, ,BRICK,GOOD,LEAVES,YES,NO,910, ,NO,11/25/03 17:25,Laptop 2,2,999,999,FIELD,-71.04143348,42.46100188
64,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,912,GR,STEEL, ,BRICK,GOOD,LEAVES,YES,NO,912, ,NO,11/25/03 17:25,Laptop 2,2,999,999,FIELD,-71.0416013,42.4609785
65,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,923,GR,CI, ,MHBLK,GOOD,SAND,YES,NO,923, ,NO,11/25/03 16:41,Laptop 2,2,999,999,FIELD,-71.04024553,42.46085695
66,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,938,MHC,CI, ,MHBLK,GOOD,NONE,NO,NO,938, ,NO,11/13/03 13:55,Laptop 2,2,999,999,FIELD,-71.04244111,42.45875776
67,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,939,CGR,CI, ,CON,GOOD,DEBRIS,YES,NO,939, ,NO,11/26/03 9:25,Laptop 2,2,999,999,FIELD,-71.03921322,42.45872771
68,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,940,CGR,CI, ,CON,GOOD,NONE,YES,NO,940, ,NO,11/26/03 9:25,Laptop 2,2,999,999,FIELD,-71.03925062,42.45867989
69,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,944,CGR,CI, ,BRICK,GOOD,NONE,YES,NO,944, ,NO,11/26/03 13:54,Laptop 2,2,999,999,FIELD,-71.05570245,42.45780837
70,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,945,CGR,CI, ,MHBLK,GOOD,SAND,YES,NO,945, ,NO,11/26/03 13:54,Laptop 2,2,999,999,FIELD,-71.05562437,42.4578185
71,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,948,CGR,CI, ,BRICK,GOOD,SAND,YES,NO,948, ,NO,11/10/03 14:51,Laptop 2,2,999,999,FIELD,-71.05482789,42.45600105
72,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,952,DGR,CI, ,UNK,UNK,UNK,UNK,UNK,952, ,CAR PARKED,11/26/03 16:28,Laptop 2,2,999,999,FIELD,-71.0522309,42.45640533
73,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,953,DGR,CI, ,UNK,UNK,UNK,UNK,UNK,953, ,CAR PARKED,11/26/03 16:28,Laptop 2,2,999,999,FIELD,-71.05218015,42.45634465
74,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,954,GR,CI, ,BRICK,GOOD,LEAVES,YES,NO,954, ,NO,11/7/03 14:51,Laptop 2,2,999,999,FIELD,-71.04861063,42.45695441
75,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,955,DGR,CI, ,BRICK,GOOD,SAND,YES,NO,955, ,OTH,11/26/03 16:40,Laptop 2,2,999,999,FIELD,-71.04859895,42.45689717
76,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,957,DGR,CI, ,BRICK,GOOD,LEAVES,YES,NO,957, ,NO,11/10/03 9:22,Laptop 2,2,999,999,FIELD,-71.0481836,42.45613773
77,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,959,GR,CI, ,MHBLK,GOOD,LEAVES,YES,NO,959, ,NO,11/26/03 15:41,Laptop 2,2,999,999,FIELD,-71.04745655,42.45623824
78,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,960,GR,CI, ,MHBLK,GOOD,LEAVES,YES,NO,960, ,NO,11/10/03 8:30,Laptop 2,2,999,999,FIELD,-71.04732264,42.45619963
79,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,961,GR,CI, ,BRICK,GOOD,LEAVES,NO,NO,961, ,NO,11/10/03 8:34,Laptop 2,2,999,999,FIELD,-71.04721271,42.45627976
80,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,963,GR,CI, ,BRICK,GOOD,NONE,YES,NO,963, ,NO,11/26/03 15:45,Laptop 2,2,999,999,FIELD,-71.04647417,42.45639411
81,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,965,GR,CI, ,BRICK,GOOD,NONE,YES,NO,965, ,OTH,11/26/03 16:00,Laptop 2,2,999,999,FIELD,-71.04637035,42.45634656
82,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,966,GR,CI, ,MHBLK,GOOD,LEAVES,YES,NO,966, ,NO,11/5/03 9:33,Laptop 2,2,999,999,FIELD,-71.04581507,42.45649285
83,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,967,GR,CI, ,MHBLK,GOOD,NONE,YES,NO,967, ,NO,11/26/03 16:04,Laptop 2,2,999,999,FIELD,-71.0459501,42.45641666
84,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,968,CGR,CI, ,BRICK,GOOD,LEAVES,YES,NO,968, ,NO,11/7/03 14:41,Laptop 2,2,999,999,FIELD,-71.0467305,42.45724453
85,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,969,CGR,CI, ,BRICK,GOOD,LEAVES,YES,NO,969, ,NO,11/7/03 14:41,Laptop 2,2,999,999,FIELD,-71.04671717,42.45719067
86,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,970,GR,CI, ,MHBLK,GOOD,LEAVES,YES,NO,970,FLOODS,NO,11/26/03 10:49,Laptop 2,2,999,999,FIELD,-71.04497115,42.4575154
87,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,971,GR,CI, ,MHBLK,GOOD,LEAVES,NO,NO,971,FLOODS,NO,11/26/03 10:49,Laptop 2,2,999,999,FIELD,-71.04495828,42.45746182
88,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,972,CGR,CI, ,MHBLK,GOOD,NONE,YES,NO,972, ,NO,11/26/03 10:39,Laptop 2,2,999,999,FIELD,-71.04559857,42.45835983
89,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,973,CGR,CI, ,MHBLK,GOOD,LEAVES,YES,NO,973, ,NO,11/26/03 10:39,Laptop 2,2,999,999,FIELD,-71.04550101,42.45831167
90,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,975,GR,STEEL, ,MHBLK,GOOD,NONE,YES,NO,975, ,NO,11/26/03 9:38,Laptop 2,2,999,999,FIELD,-71.04313625,42.45865591
91,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,976,GR,CI, ,MHBLK,GOOD,NONE,YES,NO,976, ,NO,11/26/03 9:37,Laptop 2,2,999,999,FIELD,-71.04299484,42.45854246
92,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,977,GR,CI, ,MHBLK,GOOD,SAND,YES,NO,977,"CLEANING, 4' SAND",NO,11/26/03 9:37,Laptop 2,2,48,38,FIELD,-71.04286537,42.45852444
93,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,978,GR,CI, ,MHBLK,GOOD,DEBRIS,YES,NO,978, ,NO,11/12/03 15:20,Laptop 2,2,999,999,FIELD,-71.0428273,42.45817981
94,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,979,GR,CI, ,MHBLK,GOOD,NONE,YES,NO,979, ,NO,11/26/03 9:31,Laptop 2,2,999,999,FIELD,-71.04293676,42.45816949
95,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,980,GR,CI, ,CON,GOOD,NONE,NO,NO,980,CONDUIT DIRECTLY CONNECTS TO CB,NO,11/26/03 9:32,Laptop 2,2,999,999,FIELD,-71.04280073,42.45797881
96,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,982,GR,CI, ,MHBLK,GOOD,NONE,YES,NO,982, ,NO,11/26/03 11:05,Laptop 2,2,999,999,FIELD,-71.04409522,42.45670083
97,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,983,CGR,CI, ,MHBLK,GOOD,NONE,YES,NO,983, ,NO,11/26/03 11:03,Laptop 2,2,999,999,FIELD,-71.04382831,42.45671534
98,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,984,CGR,CI, ,MHBLK,GOOD,NONE,YES,NO,984, ,NO,11/26/03 11:03,Laptop 2,2,999,999,FIELD,-71.04388873,42.45665029
99,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,985,CGR,CI, ,MHBLK,BADBRK,NONE,YES,NO,985, ,NO,11/26/03 11:03,Laptop 2,2,999,999,FIELD,-71.04351735,42.45644047
100,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,986,CGR,CI, ,MHBLK,GOOD,NONE,YES,NO,986, ,NO,11/26/03 11:03,Laptop 2,2,999,999,FIELD,-71.04344654,42.45631645
101,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,990,GR,CI, ,MHBLK,GOOD,NONE,YES,NO,990, ,NO,11/26/03 11:02,Laptop 2,2,999,999,FIELD,-71.04297921,42.45627677
102,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,DBLCB,992,CGR,CI, ,CON,GOOD,SAND,YES,NO,992,"DOUBLE CB, 2 GRATES",NO,11/26/03 9:25,Laptop 2,2,999,999,FIELD,-71.03888426,42.45831087
103,0,1,1,8/8/88 0:00,Active,S-031,Melrose, ,888,888,SUB,FIRST ST,CB,994,GR,CI, ,MHBLK,GOOD,DEBRIS,YES,NO,994,"CLEANING, ASPHALT",NO,11/11/03 9:48,Laptop 2,2,999,999,AB/FIELD,-71.06064226,42.45590845
104,0,1,1,9/9/99 0:00,Active,FIELD,Melrose, ,999,999,CREW 2, ,CB,997,GR,CI, ,CON,GOOD,SAND,YES,NO,997,"MH AND CB (SOUTH) MAY BE THE SAME STRUCTURE, REINSPECT, CB DATA MAY BE THE MH DATA",OTH,11/10/03 15:25,Laptop 2,2,999,999,FIELD,-71.06005986,42.45512967
