FID,facilityid,inlettype,in_typ_ot,locdesc,ownedby,legacy_id,cvtype,cv_typ_ot,cvshape,cv_shp_ot,cvmaterial,cv_mat_ot,cvsize,oilhood,framemater,frm_mat_ot,chimney,chimydia,chimymater,chm_mat_ot,conetype,con_typ_ot,conemater,con_mat_ot,wallmat,wal_mat_ot,bench,benchmater,ben_mat_ot,channel,chanmater,chn_mat_ot,chanexposr,rimelev,inv_depth,invertelev,sump_depth,fin_depth,installdat,maintby,lastupdate,lasteditor,plans,comments,pt_geom_x_,pt_geom_y_,elevation,map_date,mapped_by,map_by_ot,map_method,map_met_ot,map_status,rotation,condition,flow,activeflag,enabled,operable,keyjnction,anclryrole,division,asset,st_cntr_id,Longitude,Latitude
2411,swIN-2471,Catchbasin, ,7 YERXA RD,1,cb-2806, , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,3.7,0,3.9,7.6,1/1/70 0:00,1,9/20/12 0:00,akurowski, , ,746685.5488,2980659.32, ,6/19/18 0:00,Town, ,Tablet, ,Final,-139.2872523, , ,0,1,0, ,0,HIGHWAY,Stormwater,991,-71.1647309,42.42659253
2412,swIN-3700,Catchbasin, ,23 DUDLEY ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,746535,2978537.8, ,6/25/18 0:00,Town, ,Tablet, ,Final,-194.1262211, , ,0,0,0, ,0,HIGHWAY,Stormwater,511,-71.16531935,42.42077272
2413,swIN-3701,Catchbasin, ,12 BRATTLE CT,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,745367.8,2978835, ,6/25/18 0:00,Town, ,Tablet, ,Final,-212.2063472, , ,0,0,0, ,0,HIGHWAY,Stormwater,821,-71.16963781,42.42160073
2414,swIN-3702,Catchbasin, ,2 OLD COLONY LN,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,745055.4,2978877.5, ,6/25/18 0:00,Town, ,Tablet, ,Final,-35.71866545, , ,0,0,0, ,0,HIGHWAY,Stormwater,91,-71.17079419,42.42172066
2415,swIN-3703,Catchbasin, ,30 LAUREL ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,745042,2978844.8, ,6/25/18 0:00,Town, ,Tablet, ,Final,-35.71866545, , ,0,0,0, ,0,HIGHWAY,Stormwater,91,-71.17084428,42.42163108
2416,swIN-3704,Catchbasin, ,1 OLD COLONY LN,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,744907.3,2978858.5, ,6/25/18 0:00,Town, ,Tablet, ,Final,57.47334718, , ,0,0,0, ,0,HIGHWAY,Stormwater,72,-71.17134295,42.4216701
2417,swIN-3706,Catchbasin, ,0 MILL BROOK DR,1, ,Slotted, ,Square, ,Cast Iron, , ,0, , ,0, , , , , , , , , , , , , , , , , ,2,-2,5,7,1/31/64 0:00,0,3/26/21 0:00,"Copithorne, William",7534, ,748089.1,2977436, ,6/25/18 0:00,Town, ,Tablet, ,Final,-103, , ,1,1,1, ,0,HIGHWAY,Stormwater,474,-71.15958005,42.41773251
2418,swIN-3707,Catchbasin, ,0 MILL BROOK DR,1, ,Slotted, ,Square, ,Cast Iron, , ,0, , ,0, , , , , , , , , , , , , , , , , ,3,-3,3,6,1/31/64 0:00,0,3/26/21 0:00,"Copithorne, William",7534, ,748098.5,2977465.5, ,6/25/18 0:00,Town, ,Tablet, ,Final,-103, , ,1,1,1, ,0,HIGHWAY,Stormwater,474,-71.1595448,42.41781335
2419,swIN-3708,Double Catchbasin, ,16 SCHOULER CT,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,747224.7,2977665.6, ,6/25/18 0:00,Town, ,Tablet, ,Final,-56.95140277, , ,0,0,0, ,0,HIGHWAY,Stormwater,663,-71.16277783,42.41837195
2420,swIN-3709,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,747188.4,2977778.4, ,6/25/18 0:00,Town, ,Tablet, ,Final,-120.2131822, , ,0,0,0, ,0,HIGHWAY,Stormwater,663,-71.16291061,42.41868187
2421,swIN-3710,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,747238,2977732.3, ,6/25/18 0:00,Town, ,Tablet, ,Final,0, , ,0,0,0, ,0,HIGHWAY,Stormwater,0,-71.1627276,42.41855483
2422,swIN-3711,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,3/26/21 0:00,"Copithorne, William", ,"1978 High School renovation, Sheet L4",747331.6,2977695.7, ,6/25/18 0:00,Town, ,Tablet, ,Final,-327, , ,1,0,0, ,0,HIGHWAY,Stormwater,0,-71.1623815,42.41845339
2423,swIN-3712,Catchbasin, , ,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,747297.4,2977721.6, ,6/25/18 0:00,Town, ,Tablet, ,Final,0, , ,0,0,0, ,0,HIGHWAY,Stormwater,0,-71.16250778,42.41852483
2424,swIN-3713,Catchbasin, ,422 SUMMER ST,1, , , , , , , , ,0, , ,0, , , , , , , , , , , , , , , , , ,0,0,0,0,1/1/70 0:00,0,1/1/70 0:00, , , ,744338.9,2980333.5, ,6/25/18 0:00,Town, ,Tablet, ,Final,47.59083056, , ,0,0,0, ,0,HIGHWAY,Stormwater,700,-71.17342712,42.42572348
