OBJECTID,AncillaryR,Enabled,Subtype,Administra,FacilityID,InstallDat,LocationDe,Operationa,Rotation,LifecycleS,WorkorderI,Elevation,ElevationS,WaterType,AccessDiam,AccessMate,AccesType,Invert,InvertElev,Source,Inline,LocationMe,Completed,Comment,WSE_GPS_ID,Owner,Latitude,Longitude
284,,1,1,,,,,,349.1144714,Active,,14.27000046,,Storm,24,Steel,Grate,,,GPS,,,,,431,CHELSEA,42.39352681,-71.03491878
285,,1,1,,,,,,80.96051788,Active,,14.42000008,,Storm,24,Steel,Grate,,,GPS,,,,,432,CHELSEA,42.39344041,-71.03483505
286,,1,1,,,,,,37.87498474,Active,,24.45999908,,Storm,24,Steel,Grate,,,AERIALS,,,,,433,CHELSEA,42.39242526,-71.03679754
287,,1,1,,,,,,35.26301193,Active,,24.09000015,,Storm,24,Steel,Grate,,,AERIALS,,,,,434,CHELSEA,42.39236625,-71.036732
288,,1,1,,,,,,69.9047699,Active,,21.12000084,,Storm,24,Steel,Grate,,,GPS,,,,,435,CHELSEA,42.39466843,-71.03328648
289,,1,1,,,,,,0,Active,,6.099999905,,Storm,24,Steel,Grate,,,AERIALS,,,,,436,CHELSEA,42.38717425,-71.02756596
291,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,,,DIGI,,,437,CHELSEA,42.38694923,-71.02658906
292,,1,1,,,,,,0,Abandoned,,,,Storm,24,Steel,Grate,,,,,,,,438,CHELSEA,42.38716255,-71.02659408
293,,1,1,,,,,,0,Abandoned,,,,Storm,24,Steel,Grate,,,,,,,,439,CHELSEA,42.38721105,-71.02685598
294,,1,1,,,,,,0,Abandoned,,,,Storm,24,Steel,Grate,,,,,,,,440,CHELSEA,42.38733543,-71.02691712
295,,1,1,,,,,,0,Abandoned,,,,Storm,24,Steel,Grate,,,,,,,,441,CHELSEA,42.3874745,-71.02672332
296,,1,1,,,00:00.0,,,0,Active,,,,Storm,24,Steel,Grate,,,,,DIGI,,,442,CHELSEA,42.38675155,-71.02576903
297,,1,1,,,,,,347.6960754,Active,,7.909999847,,Storm,24,Steel,Grate,,,AERIALS,,,,,443,CHELSEA,42.38679293,-71.02516648
