FID,OBJECTID,AncillaryR,Enabled,Subtype,FacilityID,InstallDat,Rotation,LifecycleS,WaterType,PlanNum,Owner,CatchArea,Comments,AccessDiam,AccessMate,AccesType,Station,RimElevati,FieldBook,Invert,x,y
504,528,0,1,0, ,2/2/1981 12:00:00 AM,0,Active,Storm,TB-068,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1272071616318,42.401205889981
505,529,0,1,0, ,2/2/1981 12:00:00 AM,0,Active,Storm,TB-068,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.127126637767,42.4011788184703
506,530,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-068,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1276070081004,42.4008649006563
507,531,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-068,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1275210313502,42.4008192594215
508,532,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-033,Somerv, , ,9999,Unk,Unk,9999,46.52, ,44.12,-71.1107885388732,42.3943488086936
509,533,0,1,0, ,9/1/1977 12:00:00 AM,0,Active,Storm,TB-033,Somerv, , ,9999,Unk,Unk,9999,46.92, ,42.62,-71.1107649693937,42.3945760886533
510,534,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-033,Somerv, , ,9999,Unk,Unk,9999,47.06, ,43.86,-71.1106393508253,42.394570183745
511,535,0,1,0, ,9/1/1977 12:00:00 AM,0,Active,Storm,TB-034,Somerv, , ,9999,Unk,Unk,9999,47.28, ,43.88,-71.1093817159005,42.3965478074945
512,536,0,1,0, ,9/1/1977 12:00:00 AM,0,Active,Storm,TB-034,Somerv, , ,9999,Unk,Unk,9999,44.45, ,44.05,-71.1093009936449,42.396454393811
513,537,0,1,0, ,9/1/1977 12:00:00 AM,0,Active,Storm,TB-034,Somerv, ,DRAIN STRUCTURE,9999,Unk,Unk,9999,9999, ,9999,-71.1092197888775,42.3964376846857
514,538,0,1,0, ,9/1/1977 12:00:00 AM,0,Active,Storm,TB-034,Somerv, , ,9999,Unk,Unk,9999,44.67, ,42.27,-71.1096278848043,42.3961843169265
515,539,0,1,0, ,9/9/9999 12:00:00 AM,0,Active,Storm,TB-034,Somerv, , ,9999,Unk,Unk,9999,44.65, ,41.45,-71.1095320296275,42.3961456385879
516,540,0,1,0, ,9/1/1977 12:00:00 AM,0,Active,Storm,TB-034,Somerv, , ,9999,Unk,Unk,9999,45.82, ,42.22,-71.1099672228853,42.3956923888037
517,541,0,1,0, ,9/1/1977 12:00:00 AM,0,Active,Storm,TB-034,Somerv, , ,9999,Unk,Unk,9999,45.61, ,42.41,-71.1098713430299,42.3956591969932
518,542,0,1,0, ,11/1/1977 12:00:00 AM,0,Proposed,Storm,TB-035,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1256065859505,42.3954272659832
519,543,0,1,0, ,11/1/1977 12:00:00 AM,0,Proposed,Storm,TB-035,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.125493810839,42.395369731061
520,544,0,1,0, ,9/9/9999 12:00:00 AM,0,Abandoned,Storm,TB-035,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1253898005367,42.3955675726261
521,545,0,1,0, ,9/9/9999 12:00:00 AM,0,Abandoned,Storm,TB-035,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1253080334925,42.3954834622172
522,546,0,1,0, ,11/1/1977 12:00:00 AM,0,Proposed,Storm,TB-035,Somerv, , ,9999,Unk,Unk,9999,9999, ,9999,-71.1252298692739,42.3956585206074
