lon,lat,owner,watershed,type,form
-78.95293227246255,36.05277958211694,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95350067586209,36.05264217373512,CITY-ROW,Eno River,COMBO INLET,BOX
-78.9516962345813,36.048151184223634,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95141115869266,36.04801069804516,CITY-ROW,Eno River,COMBO INLET,BOX
-78.9509265136665,36.04785749490328,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95052335046421,36.04777327328222,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95042700380426,36.047676538801674,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95031742080474,36.0476514963414,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95016752269326,36.0477258798327,CITY-ROW,Eno River,COMBO INLET,BOX
-78.950135671063,36.04781404649667,CITY-ROW,Eno River,COMBO INLET,BOX
-78.9513749111514,36.04809831386799,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95072716490816,36.0491430242139,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95061789234869,36.0491600116945,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95055849345692,36.048936379586486,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95048289568157,36.04865120742662,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95036713805789,36.04821383347547,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95000217013937,36.05199249515898,CITY-ROW,Eno River,COMBO INLET,BOX
-78.94965588591613,36.05180116009939,CITY-ROW,Eno River,COMBO INLET,BOX
-78.9496292419843,36.051672313641305,CITY-ROW,Eno River,COMBO INLET,BOX
-78.94979849832728,36.05148833256378,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95022061349869,36.051040465281964,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95013675707266,36.05098027123619,CITY-ROW,Eno River,COMBO INLET,BOX
-78.95024329530534,36.052109067392614,CITY-ROW,Eno River,COMBO INLET,BOX
-78.94992973334281,36.05206306405104,CITY-ROW,Eno River,COMBO INLET,BOX
-78.94970617903421,36.05143719994244,CITY-ROW,Eno River,COMBO INLET,BOX
-78.89574597657953,36.03720668995638,CITY-ROW,Eno River,COMBO INLET,BOX
-78.91674820007003,36.09508698589566,CITY-ROW,Eno River,COMBO INLET,BOX
-78.91901367582236,36.095603866997415,CITY-ROW,Eno River,COMBO INLET,BOX
-78.91894279785726,36.095640244941876,CITY-ROW,Eno River,COMBO INLET,BOX
-78.91866246075581,36.095523696963454,CITY-ROW,Eno River,COMBO INLET,BOX
-78.91825811953802,36.095531256295736,CITY-ROW,Eno River,COMBO INLET,BOX
-78.91757927529164,36.09554426092884,CITY-ROW,Eno River,COMBO INLET,BOX
-78.91749157888377,36.0956097721094,CITY-ROW,Eno River,COMBO INLET,BOX
-78.91740118414462,36.09559993186723,CITY-ROW,Eno River,COMBO INLET,BOX
-78.98896684833775,35.980213737377895,CITY-ROW,Mud Creek,COMBO INLET,BOX
-78.98897091435819,35.98013901652977,CITY-ROW,Mud Creek,COMBO INLET,BOX
-78.98829155792227,35.98020405964598,CITY-ROW,Mud Creek,COMBO INLET,BOX
-78.98829427271315,35.98012878926978,CITY-ROW,Mud Creek,COMBO INLET,BOX
-78.98825405267272,35.98012878540833,CITY-ROW,Mud Creek,COMBO INLET,BOX
-78.98899599763796,35.97960745420096,CITY-ROW,Mud Creek,COMBO INLET,BOX
-78.98911428777485,35.97963218873829,CITY-ROW,Mud Creek,COMBO INLET,BOX
-78.98916665738031,35.97976268083557,CITY-ROW,Mud Creek,COMBO INLET,BOX
-78.98907776610615,35.97977750727981,CITY-ROW,Mud Creek,COMBO INLET,BOX
-79.00103954459533,35.88940685931262,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.00114504624834,35.88943647315144,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.00118119944715,35.88914944565287,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.00127343334046,35.88919949865846,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.00138723415185,35.888897470540705,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.00147193950909,35.88895571013447,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.00173252519146,35.888519836331476,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.0018259740517,35.888569119697955,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.00192629999265,35.88819541680959,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-79.00200702186571,35.888275111726784,CITY-ROW,Morgan Creek,COMBO INLET,BOX
-78.88897185858792,35.972868876672536,CITY-ROW,Third Fork Creek,COMBO INLET,BOX
-78.88868603981763,35.97292630585903,CITY-ROW,Third Fork Creek,COMBO INLET,UNKNOWN
-78.88961996964858,35.971645158052645,CITY-ROW,Third Fork Creek,COMBO INLET,UNKNOWN
-78.82920775221628,35.88744739686686,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.8308753218445,35.888521596103885,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.83100208187378,35.888445234728344,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.83054703177679,35.88805826445144,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.82997804310541,35.88778541730253,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.82910229401035,35.887603729853566,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.8331796976369,35.88804049226647,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.83320117293859,35.88803854364599,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.83316058171559,35.887929863760405,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
-78.8331816524956,35.887927612397824,CITY-ROW,Stirrup Iron Creek,COMBO INLET,BOX
